ID|Word|POS|RelationClass|Relation|RootHypernyms|Synonyms|Examples|Count|Prob|Definition|implication|SpatialScale|Enetity
35|behind|RB|direction|back|behind.r.01|behind,13|he followed behind;seen from behind, the house is more imposing than it is from the front;the final runners were far behind|13|0.81|in or to or toward the rear|none|object|living things
36|below|RB|direction|below|below.r.01|below,16;at_a_lower_place,0;to_a_lower_place,0;beneath,1||16|0.48|in or to a place that is lower|none|object|living things
37|below|RB|direction|below|downstairs.r.01|downstairs,6;down_the_stairs,4;on_a_lower_floor,0;below,2|the tenants live downstairs|2|0.06|on a floor below|none|object|living things
38|beneath|RB|direction|below|below.r.01|below,16;at_a_lower_place,0;to_a_lower_place,0;beneath,1||1|1|in or to a place that is lower|none|object|living things
39|between|RB|proximity|near|between.r.02|between,1;'tween,0|two houses with a tree between|1|0.5|in between|none|object|living things
40|beyond|RB|direction|across|beyond.r.02|beyond,1|a pond with a hayfield beyond|1|0.09|on the farther side from the observer|none|object|living things
|connected with;connecting with;connected to;connecting to;|IN|||||||||||
41|down|RB|direction|below|down.r.01|down,98;downwards,0;downward,2;downwardly,0|don't fall down;rode the lift up and skied down;prices plunged downward|98|0.8|spatially or metaphorically from a higher to a lower level or position|none|object|living things
42|down|RB|direction|away,south;|down.r.02|down,22|was sent down to work at the regional office;worked down on the farm;came down for the wedding;flew down to Florida|22|0.18|away from a more central or a more northerly place|none|object|living things
43|downhill|RB|direction|bottom|downhill.r.02|downhill,0|running downhill, he gained a lot of speed|0|0.5|toward the bottom of a hill|none|object|living things
44|downstairs|RB|direction|below|downstairs.r.01|downstairs,6;down_the_stairs,4;on_a_lower_floor,0;below,2|the tenants live downstairs|6|1|on a floor below|none|object|living things
45|downward|RB|direction|below|down.r.01|down,98;downwards,0;downward,2;downwardly,0|don't fall down;rode the lift up and skied down;prices plunged downward|2|1|spatially or metaphorically from a higher to a lower level or position|none|object|living things
46|eastward|RB|direction|east|eastward.r.01|eastward,1;eastwards,0|they migrated eastward to Sweden|1|1|toward the east|none|object|living things
47|elsewhere|RB|direction|away|elsewhere.r.01|elsewhere,14|he went elsewhere;look elsewhere for the answer|14|1|in or to another place|none|object|living things
48|everywhere|RB|direction|everywhere|everywhere.r.01|everywhere,19;everyplace,0;all_over,6|You find fast food stores everywhere;people everywhere are becoming aware of the problem;he carried a gun everywhere he went;looked all over for a suitable gift|19|1|to or in any or all places; (`everyplace' is used informally for `everywhere')|none|object|living things
49|far|RB|proximity|far|far.r.02|far,39|he traveled far;strayed far from home;sat far away from each other|39|0.31|at or to or from a great distance in space|none|object|living things
50|far|RB|proximity|far|far.r.05|far,0|a young man who will go very far|0|0|to an advanced stage or point|none|object|living things
51|forward|RB|direction|front|forward.r.01|forward,53;forwards,0;frontward,0;frontwards,0;forrad,0;forrard,0|he faced forward;step forward;she practiced sewing backward as well as frontward on her new sewing machine|53|0.83|at or to or toward the front; (`forrad' and `forrard' are dialectal variations)|none|object|living things
52|forward|RB|direction|front|ahead.r.03|ahead,5;onward,0;onwards,0;forward,3;forwards,0;forrader,0|go ahead;the train moved ahead slowly;the boat lurched ahead;moved onward into the forest;they went slowly forward in the mud|3|0.05|in a forward direction|none|object|living things
53|forward|RB|direction|front|fore.r.01|fore,0;forward,0|the captain went fore (or forward) to check the instruments|0|0|near or toward the bow of a ship or cockpit of a plane|none|object|living things
54|forwards|RB|direction|front|forward.r.01|forward,53;forwards,0;frontward,0;frontwards,0;forrad,0;forrard,0|he faced forward;step forward;she practiced sewing backward as well as frontward on her new sewing machine|0|0.5|at or to or toward the front; (`forrad' and `forrard' are dialectal variations)|none|object|living things
55|forwards|RB|direction|front|ahead.r.03|ahead,5;onward,0;onwards,0;forward,3;forwards,0;forrader,0|go ahead;the train moved ahead slowly;the boat lurched ahead;moved onward into the forest;they went slowly forward in the mud|0|0.5|in a forward direction|none|object|living things
56|here|RB|direction|here|here.r.01|here,187|I work here;turn here;radio waves received here on Earth|187|0.63|in or at this place; where the speaker or writer is|current location|any|any
57|here|RB|direction|here|here.r.03|here,17;hither,6|come here, please|17|0.06|to this place (especially toward the speaker)|none|object|living things
58|high|RB|direction|up|high.r.01|high,9;high_up,1|he climbed high on the ladder|9|0.82|at a great altitude|none|object|living things
59|in|RB|overlay|within|in.r.01|in,19;inwards,0;inward,0|come in;smash in the door|19|1|to or toward the inside of|none|object|living things
60|indoors|RB|overlay|within|inside.r.01|inside,19;indoors,1|in winter we play inside|1|1|within a building|none|object|living things
61|inside|RB|overlay|within|inside.r.01|inside,19;indoors,1|in winter we play inside|19|0.58|within a building|none|object|living things
62|inside|RB|overlay|within|inside.r.02|inside,14;within,6|inside, the car is a mess|14|0.42|on the inside|none|object|living things
63|inward|RB|overlay|within|inward.r.01|inward,1;inwards,0|move the needle further inwards!|1|1|toward the center or interior|none|object|living things
64|inward|RB|overlay|within|in.r.01|in,19;inwards,0;inward,0|come in;smash in the door|0|0|to or toward the inside of|none|object|living things
