ID|Word|IsPreposition|IsAdverb|SemanticRole|SemanticOrder|RelationClass|Relation|Examples|Count|Prob|Definition|implication|SpatialScale|Enetity|Synonyms|RootHypernyms
148|near|0|1|spatial||||the job is (just) about done;the baby was almost asleep when the alarm sounded;we're almost finished;the car all but ran her down;he nearly fainted;talked for nigh onto 2 hours;the recording is well-nigh perfect;virtually all the parties signed the contract;I was near exhausted by the run;most everyone agrees|1|0.05|(of actions or states) slightly short of or not quite accomplished; all but|none|object|living things|about,1;almost,175;most,1;nearly,53;near,1;nigh,0;virtually,4;well-nigh,1|about.r.07
157|on|0|1|spatial||||turn the lights on;get a load on|1|0.02|in a state required for something to function or be effective|none|object|living things|on,1|on.r.03
167|outward|0|1|spatial||||move the needle further outward!|1|1|toward the outside|none|object|living things|outward,1;outwards,0|outward.r.01
170|over|0|1|spatial||||stay over the weekend|1|0.04|throughout a period of time|none|object|living things|over,1;o'er,0|over.r.03
175|overseas|0|1|spatial||||He lived overseas for many years|1|0.5|beyond or across the sea|none|object|living things|oversea,0;overseas,1|oversea.r.01
176|overseas|0|1|spatial|||||1|0.5|in a place across an ocean|none|object|living things|overseas,1;abroad,1|overseas.r.02
187|right|0|1|spatial||||that serves him right;do right by him|1|0.02|in accordance with moral or social standards|none|object|living things|justly,1;right,1|justly.r.02
201|through|0|1|spatial||||think this through very carefully!|1|0.12|to completion|none|object|living things|through,1|through.r.03
235|wide|0|1|spatial||||open your eyes wide;with the throttle wide open|1|0.2|to the fullest extent possible|none|object|living things|wide,1|wide.r.02
1|abaft|0|1|spatial||||stow the luggage aft;ships with square sails sail fairly efficiently with the wind abaft|0|1|at or near or toward the stern of a ship or tail of an airplane|none|object|ship,plane,airplane|aft,1;abaft,0;astern,0|aft.r.01
4|aboard|0|1|spatial||||anchored close aboard another ship|0|0|side by side|none|object|living things|aboard,0;alongside,0|aboard.r.03
5|aboard|0|1|nonspatial||||Bill's been aboard for three years now|0|0|part of a group|none|object|living things|aboard,0|aboard.r.04
24|ahead|0|1|nonspatial||||a young man sure to get ahead;pushing talented students ahead|0|0|to a more advanced or advantageous position|none|object|living things|ahead,0|ahead.r.05
25|ahead|0|1|nonspatial||||moved the appointment ahead from Tuesday to Monday;pushed the deadline ahead from Tuesday to Wednesday|0|0|to a different or a more advanced time (meaning advanced either toward the present or toward the future)|none|object|living things|ahead,0|ahead.r.06
26|ahead|0|1|spatial||||the horse was three lengths ahead going into the home stretch;ahead by two pawns;our candidate is in the lead in the polls;way out front in the race;the advertising campaign put them out front in sales|0|0|leading or ahead in a competition|none|object|living things|ahead,0;out_front,0;in_the_lead,1|ahead.r.07
30|aloft|0|1|spatial||||climbed aloft to unfurl the sail|0|0.25|at or on or to the masthead or upper rigging of a ship|none|object|living things|aloft,0|aloft.r.01
31|aloft|0|1|spatial||||the good news sent her spirits aloft|0|0.25|upward|none|object|living things|aloft,0|aloft.r.02
32|aloft|0|1|spatial||||eagles were soaring aloft;dust is whirled aloft|0|0.25|at or to great height; high up in or into the air|none|object|living things|aloft,0|aloft.r.03
33|aloft|0|1|spatial||||weather conditions aloft are fine|0|0.25|in the higher atmosphere above the earth|none|object|living things|aloft,0|aloft.r.04
38|along|0|1|spatial||||pass the word along;ran along beside me;cottages along by the river|0|0|in line with a length or direction (often followed by `by' or `beside')|none|object|living things|along,0|along.r.05
39|alongside|0|1|spatial||||anchored close aboard another ship|0|1|side by side|none|object|living things|aboard,0;alongside,0|aboard.r.03
44|apart|0|1|spatial||||had a feeling of being set apart;quality sets it apart;a day set aside for relaxing|0|0|placed or kept separate and distinct as for a purpose|none|object|living things|aside,0;apart,0|aside.r.05
45|apart|0|1|spatial||||people can't tell the twins apart|0|0|one from the other|none|object|living things|apart,0|apart.r.05
46|apart|0|1|spatial||||he took his father's watch apart;split apart;torn asunder|0|0|into parts or pieces|none|object|living things|apart,0;asunder,0|apart.r.06
56|around|0|1|spatial||||It rains all year round on Skye;frigid weather the year around|0|0|from beginning to end; throughout|none|object|living things|round,3;around,0|round.r.01
57|aslant|0|1|spatial|||||0|0.5|over or across in a slanting direction|none|object|living things|aslant,0|aslant.r.01
58|aslant|0|1|spatial||||the sun shone aslant into his face|0|0.5|at an oblique angle|none|object|living things|obliquely,0;aslant,0;athwart,0|obliquely.r.02
59|astraddle|0|1|spatial||||she sat astride the chair|0|1|with one leg on each side|none|object|living things|astride,2;astraddle,0|astride.r.01
61|astride|0|1|spatial|||||0|0|with the legs stretched far apart|none|object|living things|astride,0|astride.r.02
62|athwart|0|1|spatial|||||0|0.5|at right angles to the center line of a ship|none|object|living things|athwart,0|athwart.r.01
63|athwart|0|1|spatial||||the sun shone aslant into his face|0|0.5|at an oblique angle|none|object|living things|obliquely,0;aslant,0;athwart,0|obliquely.r.02
72|away|0|1|spatial||||fire away!|0|0|freely or at will|none|object|living things|away,0|away.r.08
73|away|0|1|spatial||||put the toys away;her jewels are locked away in a safe;filed the letter away|0|0|in or into a proper place (especially for storage or safekeeping)|none|object|living things|away,0|away.r.09
