ID|Word|IsPreposition|IsAdverb|SemanticRole|SemanticOrder|RelationClass|Relation|Examples|Count|Prob|Definition|implication|SpatialScale|Enetity|Synonyms|RootHypernyms
49|around|0|1|spatial||||wandering about with no place to go;people were rushing about;news gets around (or about);traveled around in Asia;he needs advice from someone who's been around;she sleeps around|12|0.19|used of movement to or among many different places or in no particular direction|none|object|living things|about,3;around,12|about.r.04
153|off|0|1|spatial||||the boat was 5 miles off (or away);the party is still 2 weeks off (or away);away back in the 18th century|12|0.4|at a distance in space or time|none|object|living things|off,12;away,2|off.r.02
151|nowhere|0|1|spatial||||I am going nowhere|11|1|not anywhere; in or at or to no place|none|object|living things|nowhere,11|nowhere.r.01
181|right|0|1|spatial||||he fell flop on his face|11|0.19|exactly|none|object|living things|right,11;flop,0|right.r.03
7|about|0|1|spatial||||dirty clothes lying around (or about);let's look about for help;There were trees growing all around;she looked around her|10|0.13|all around or on all sides|none|object|living things|about,10;around,1|about.r.02
42|apart|0|1|spatial||||these problems apart, the country is doing well;all joking aside, I think you're crazy|10|0.34|not taken into account or excluded from consideration|none|object|living things|apart,10;aside,4|apart.r.02
96|beyond|0|1|spatial||||through the valley and beyond;to the eighth grade but not beyond;will be influential in the 1990s and beyond|10|0.91|farther along in space or time or degree|none|object|living things|beyond,10|beyond.r.01
14|above|0|1|spatial||||the room above|9|0.22|in or to a place that is higher|none|object|living things|above,9;higher_up,0;in_a_higher_place,0;to_a_higher_place,0|above.r.02
35|along|0|1|spatial||||his little sister came along to the movies;I brought my camera along;working along with his father|9|0.24|in accompaniment or as a companion|none|object|living things|along,9|along.r.02
40|anywhere|0|1|spatial||||you can find this food anywhere|9|1|at or in or to any place; (`anyplace' is used informally for `anywhere')|none|object|living things|anywhere,9;anyplace,0|anywhere.r.01
131|high|0|1|spatial||||he climbed high on the ladder|9|0.82|at a great altitude|none|object|living things|high,9;high_up,1|high.r.01
15|abroad|0|1|spatial||||they had never travelled abroad|8|0.73|to or in a foreign country|none|country|place|abroad,8|abroad.r.01
149|nearby|0|1|spatial||||she works nearby;the planets orbiting nearby are Venus and Mars|7|1|not far away in relative terms|none|object|living things|nearby,7|nearby.r.01
29|all over|0|1|spatial||||You find fast food stores everywhere;people everywhere are becoming aware of the problem;he carried a gun everywhere he went;looked all over for a suitable gift|6|0.33|to or in any or all places; (`everyplace' is used informally for `everywhere')|none|any|any|everywhere,19;everyplace,0;all_over,6|everywhere.r.01
50|around|0|1|spatial||||The wheels are spinning around|6|0.1|in a circle or circular motion|none|object|living things|around,6|around.r.04
110|downstairs|0|1|spatial||||the tenants live downstairs|6|1|on a floor below|none|object|living things|downstairs,6;down_the_stairs,4;on_a_lower_floor,0;below,2|downstairs.r.01
166|outside|0|1|spatial||||outside, the box is black|6|0.29|on the outside|none|object|living things|outside,6|outside.r.02
197|there|0|1|spatial||||I agree with you there|6|0.03|in that matter|none|object|living things|there,6;in_that_respect,0;on_that_point,0|there.r.02
223|up and down|0|1|spatial||||he walked up and down the locker room;all up and down the Eastern seaboard|6|0.67|moving backward and forward along a given course|none|object|living things|up_and_down,6|up_and_down.r.01
229|upward|0|1|spatial||||look up!;the music surged up;the fragments flew upwards;prices soared upwards;upwardly mobile|6|1|spatially or metaphorically from a lower to a higher position|none|object|living things|up,79;upwards,3;upward,6;upwardly,0|up.r.01
238|within|0|1|spatial||||inside, the car is a mess|6|1|on the inside|none|object|living things|inside,14;within,6|inside.r.02
8|about|0|1|spatial||||a few spectators standing about;hanging around;waited around for the next flight|5|0.06|in the area or vicinity|none|object|living things|about,5;around,26|about.r.03
21|ahead|0|1|nonspatial||||I like to look ahead in imagination to what the future may bring;I look forward to seeing you|5|0.16|toward the future; forward in time|none|object|living things|ahead,5;forward,3|ahead.r.02
22|ahead|0|1|spatial||||go ahead;the train moved ahead slowly;the boat lurched ahead;moved onward into the forest;they went slowly forward in the mud|5|0.16|in a forward direction|none|object|living things|ahead,5;onward,0;onwards,0;forward,3;forwards,0;forrader,0|ahead.r.03
121|forward|0|1|spatial||||from that time forth;from the sixth century onward|5|0.08|forward in time or order or degree|none|object|living things|forth,1;forward,5;onward,0|forth.r.02
154|off|0|1|spatial||||clean off the dirt;he shaved off his mustache|5|0.17|no longer on or in contact or attached|none|object|living things|off,5|off.r.03
161|out|0|1|spatial||||they went out last night|5|1|away from home|none|object|living things|out,5|out.r.01
199|through|0|1|spatial||||read this book through|5|0.62|from beginning to end|none|object|living things|through,5|through.r.01
2|aboard|0|1|spatial||||go aboard ship; aboard a plane|4|0.8|on a ship, train, plane or other vehicle|none|object|ship,train,plane,vehicle|aboard,4;on_board,0|aboard.r.01
18|across|0|1|spatial||||the football field was 300 feet across|4|0.8|to the opposite side|none|any|any|across,4|across.r.01
76|backward|0|1|spatial||||he moved back;tripped when he stepped backward;she looked rearward out the window of the car|4|0.67|at or to or toward the back or rear|none|object|living things|back,36;backward,4;backwards,1;rearward,4;rearwards,0|back.r.02
178|rearward|0|1|spatial||||he moved back;tripped when he stepped backward;she looked rearward out the window of the car|4|1|at or to or toward the back or rear|none|object|living things|back,36;backward,4;backwards,1;rearward,4;rearwards,0|back.r.02
182|right|0|1|spatial||||he looked right and left;the party has moved right|4|0.07|toward or on the right; also used figuratively|none|object|living things|right,4|right.r.04
234|wide|0|1|spatial||||stand with legs wide apart;ran wide around left end|4|0.8|with or by a broad space|none|object|living things|wide,4|wide.r.01
9|about|0|1|spatial||||wandering about with no place to go;people were rushing about;news gets around (or about);traveled around in Asia;he needs advice from someone who's been around;she sleeps around|3|0.04|used of movement to or among many different places or in no particular direction|none|object|living things|about,3;around,12|about.r.04
10|about|0|1|spatial||||about face;suddenly she turned around|3|0.04|in or to a reversed position or direction|none|object|living things|about,3;around,1|about.r.05
68|away|0|1|spatial||||"the music faded away;tried to explain away the affair of the letter""- H.E.Scudder;idled the hours away;her fingernails were worn away"|3|0.03|out of existence|none|object|living things|away,3|away.r.04
84|behind|0|1|spatial||||when he died he left much unfinished work behind;left a large family behind;the children left their books behind;he took off with a squeal of tires and left the other cars far behind|3|0.19|remaining in a place or condition that has been left or departed from|none|object|living things|behind,3|behind.r.02
118|far|0|1|spatial||||if we could see far into the future;all that happened far in the past|3|0.02|remote in time|none|object|living things|far,3|far.r.04
122|forward|0|1|spatial||||I like to look ahead in imagination to what the future may bring;I look forward to seeing you|3|0.05|toward the future; forward in time|none|object|living things|ahead,5;forward,3|ahead.r.02
123|forward|0|1|spatial||||go ahead;the train moved ahead slowly;the boat lurched ahead;moved onward into the forest;they went slowly forward in the mud|3|0.05|in a forward direction|none|object|living things|ahead,5;onward,0;onwards,0;forward,3;forwards,0;forrader,0|ahead.r.03
143|left|0|1|spatial||||he looked right and left;the political party has moved left|3|1|toward or on the left; also used figuratively|none|object|living things|left,3|left.r.01
146|low|0|1|spatial||||the branches hung low|3|1|in a low position; near the ground|none|object|living things|low,3|low.r.01
150|northward|0|1|spatial||||they earn more up north;Let's go north!|3|1|in a northern direction|none|object|living things|north,11;northerly,0;northwards,0;northward,3|north.r.01
183|right|0|1|spatial||||please do your job properly!;can't you carry me decent?|3|0.05|in the right manner|none|object|living things|properly,21;decently,0;decent,1;in_good_order,1;right,3;the_right_way,0|properly.r.01
184|right|0|1|spatial|||||3|0.05|an interjection expressing agreement|none|object|living things|right,3;right_on,0|right.r.06
189|round|0|1|spatial||||It rains all year round on Skye;frigid weather the year around|3|1|from beginning to end; throughout|none|object|living things|round,3;around,0|round.r.01
195|southward|0|1|spatial||||the ship turned southerly|3|1|toward the south|none|object|living things|southerly,0;southward,3;southwards,0|southerly.r.01
204|throughout|0|1|spatial||||the play was excellent end-to-end|3|1|from first to last|none|object|living things|throughout,3;end-to-end,0|throughout.r.01
214|underfoot|0|1|spatial||||trampled the beans underfoot;green grass growing underfoot|3|1|under the feet|none|object|living things|underfoot,3|underfoot.r.01
224|up and down|0|1|spatial||||he eyed him up and down|3|0.33|alternately upward and downward|none|object|living things|up_and_down,3|up_and_down.r.02
231|upwards|0|1|spatial||||look up!;the music surged up;the fragments flew upwards;prices soared upwards;upwardly mobile|3|1|spatially or metaphorically from a lower to a higher position|none|object|living things|up,79;upwards,3;upward,6;upwardly,0|up.r.01
233|westward|0|1|spatial||||they traveled westward toward the setting sun|3|1|toward the west|none|object|living things|westward,3;westwards,1|westward.r.01
11|about|0|1|spatial||||turn about is fair play|2|0.03|in rotation or succession|none|object|living things|about,2|about.r.06
16|abroad|0|1|spatial||||"looking afield for new lands to conquer""- R.A.Hall"|2|0.18|far away from home or one's usual surroundings|none|surrounding|place|afield,0;abroad,2|afield.r.01
36|along|0|1|spatial||||the work is moving along;well along in their research;hurrying their education along;getting along in years|2|0.05|to a more advanced state|none|object|living things|along,2|along.r.03
37|along|0|1|spatial||||we sent them food and some clothing went along in the package;along with the package came a bill;consider the advantages along with the disadvantages|2|0.05|in addition (usually followed by `with')|none|object|living things|along,2|along.r.04
51|around|0|1|spatial||||lasted approximately an hour;in just about a minute;he's about 30 years old;I've had about all I can stand;we meet about once a month;some forty people came;weighs around a hundred pounds;roughly $3,000;holds 3 gallons, more or less;20 or so people were at the party|2|0.03|(of quantities) imprecise but fairly close to correct|none|object|living things|approximately,26;about,55;close_to,3;just_about,2;some,2;roughly,9;more_or_less,11;around,2;or_so,8|approximately.r.01
60|astride|0|1|spatial||||she sat astride the chair|2|1|with one leg on each side|none|object|living things|astride,2;astraddle,0|astride.r.01
69|away|0|1|spatial||||the boat was 5 miles off (or away);the party is still 2 weeks off (or away);away back in the 18th century|2|0.02|at a distance in space or time|none|object|living things|off,12;away,2|off.r.02
